dateTime,clusterBetween,Difference,kernelSize,ROI_DEPTH,clusterDepth,minAngle,maxAngle
0:0:52:885,C[2-1],36,7,390,13,38,48
0:0:52:949,C[2-1],36,7,390,13,38,48
0:1:1:128,C[2-1],30,7,390,13,38,48
0:1:1:175,C[2-1],30,7,390,13,38,48
0:1:1:236,C[2-1],30,7,390,13,38,48
0:1:1:284,C[2-1],30,7,390,13,38,48
0:1:1:330,C[2-1],30,7,390,13,38,48
0:1:1:520,C[2-1],29,7,390,13,38,48
0:1:1:661,C[2-1],29,7,390,13,38,48
0:1:1:787,C[2-1],29,7,390,13,38,48
0:1:1:850,C[2-1],29,7,390,13,38,48
0:1:1:914,C[2-1],29,7,390,13,38,48
0:1:1:978,C[2-1],29,7,390,13,38,48
0:1:2:42,C[2-1],29,7,390,13,38,48
0:1:2:105,C[2-1],28,7,390,13,38,48
0:1:2:170,C[2-1],28,7,390,13,38,48
0:1:2:233,C[2-1],28,7,390,13,38,48
0:1:2:297,C[2-1],28,7,390,13,38,48
0:1:2:346,C[2-1],28,7,390,13,38,48
0:1:2:410,C[2-1],28,7,390,13,38,48
0:1:2:472,C[2-1],27,7,390,13,38,48
0:1:2:532,C[2-1],28,7,390,13,38,48
0:1:2:659,C[2-1],28,7,390,13,38,48
0:1:2:736,C[2-1],27,7,390,13,38,48
0:1:2:800,C[2-1],27,7,390,13,38,48
0:1:2:862,C[2-1],27,7,390,13,38,48
0:1:2:924,C[2-1],27,7,390,13,38,48
0:1:2:987,C[2-1],27,7,390,13,38,48
0:1:3:81,C[2-1],27,7,390,13,38,48
0:1:3:159,C[2-1],27,7,390,13,38,48
0:1:3:222,C[2-1],27,7,390,13,38,48
0:1:3:285,C[2-1],27,7,390,13,38,48
0:1:3:348,C[2-1],29,7,390,13,38,48
0:1:3:412,C[2-1],27,7,390,13,38,48
0:1:3:491,C[2-1],27,7,390,13,38,48
0:1:3:554,C[2-1],27,7,390,13,38,48
0:1:3:634,C[2-1],27,7,390,13,38,48
0:1:3:776,C[2-1],26,7,390,13,38,48
0:1:3:855,C[2-1],27,7,390,13,38,48
0:1:3:918,C[2-1],26,7,390,13,38,48
0:1:3:981,C[2-1],26,7,390,13,38,48
0:1:4:43,C[2-1],27,7,390,13,38,48
0:1:4:105,C[2-1],26,7,390,13,38,48
0:1:4:170,C[2-1],29,7,390,13,38,48
0:1:4:232,C[2-1],27,7,390,13,38,48
0:1:4:296,C[2-1],27,7,390,13,38,48
0:1:4:359,C[2-1],26,7,390,13,38,48
0:1:4:438,C[2-1],26,7,390,13,38,48
0:1:4:502,C[2-1],26,7,390,13,38,48
0:1:4:566,C[2-1],26,7,390,13,38,48
0:1:4:645,C[2-1],29,7,390,13,38,48
0:1:4:721,C[2-1],26,7,390,13,38,48
0:1:4:784,C[2-1],26,7,390,13,38,48
0:1:4:848,C[2-1],26,7,390,13,38,48
0:1:4:911,C[2-1],26,7,390,13,38,48
0:1:4:975,C[2-1],26,7,390,13,38,48
0:1:5:40,C[2-1],26,7,390,13,38,48
0:1:5:102,C[2-1],26,7,390,13,38,48
0:1:5:164,C[2-1],26,7,390,13,38,48
0:1:5:228,C[2-1],26,7,390,13,38,48
0:1:5:292,C[2-1],26,7,390,13,38,48
0:1:5:355,C[2-1],26,7,390,13,38,48
0:1:5:418,C[2-1],26,7,390,13,38,48
0:1:5:479,C[2-1],26,7,390,13,38,48
0:1:5:544,C[2-1],26,7,390,13,38,48
0:1:5:607,C[2-1],26,7,390,13,38,48
0:1:5:672,C[2-1],26,7,390,13,38,48
0:1:5:751,C[2-1],26,7,390,13,38,48
0:1:5:813,C[2-1],26,7,390,13,38,48
0:1:5:874,C[2-1],26,7,390,13,38,48
0:1:5:938,C[2-1],26,7,390,13,38,48
0:1:5:999,C[2-1],26,7,390,13,38,48
0:1:6:61,C[2-1],26,7,390,13,38,48
0:1:6:124,C[2-1],26,7,390,13,38,48
0:1:6:187,C[2-1],26,7,390,13,38,48
0:1:6:246,C[2-1],26,7,390,13,38,48
0:1:6:306,C[2-1],26,7,390,13,38,48
0:1:6:371,C[2-1],26,7,390,13,38,48
0:1:6:434,C[2-1],26,7,390,13,38,48
0:1:6:497,C[2-1],26,7,390,13,38,48
0:1:6:561,C[2-1],26,7,390,13,38,48
0:1:6:623,C[2-1],26,7,390,13,38,48
0:1:6:687,C[2-1],26,7,390,13,38,48
0:1:6:748,C[2-1],26,7,390,13,38,48
0:1:6:813,C[2-1],26,7,390,13,38,48
0:1:6:876,C[2-1],26,7,390,13,38,48
0:1:6:939,C[2-1],26,7,390,13,38,48
0:1:7:0,C[2-1],26,7,390,13,38,48
0:1:7:64,C[2-1],26,7,390,13,38,48
0:1:7:127,C[2-1],26,7,390,13,38,48
0:1:7:193,C[2-1],26,7,390,13,38,48
0:1:7:255,C[2-1],26,7,390,13,38,48
0:1:7:316,C[2-1],26,7,390,13,38,48
0:1:7:379,C[2-1],26,7,390,13,38,48
0:1:7:443,C[2-1],26,7,390,13,38,48
0:1:7:505,C[2-1],26,7,390,13,38,48
0:1:7:567,C[2-1],26,7,390,13,38,48
0:1:7:632,C[2-1],26,7,390,13,38,48
0:1:7:694,C[2-1],26,7,390,13,38,48
0:1:7:755,C[2-1],26,7,390,13,38,48
0:1:7:820,C[2-1],26,7,390,13,38,48
0:1:7:884,C[2-1],26,7,390,13,38,48
0:1:7:960,C[2-1],26,7,390,13,38,48
0:1:8:21,C[2-1],26,7,390,13,38,48
0:1:8:83,C[2-1],26,7,390,13,38,48
0:1:8:145,C[2-1],26,7,390,13,38,48
0:1:8:210,C[2-1],26,7,390,13,38,48
0:1:8:272,C[2-1],26,7,390,13,38,48
0:1:8:334,C[2-1],26,7,390,13,38,48
0:1:8:397,C[2-1],26,7,390,13,38,48
0:1:8:461,C[2-1],26,7,390,13,38,48
0:1:8:524,C[2-1],26,7,390,13,38,48
0:1:8:589,C[2-1],26,7,390,13,38,48
0:1:8:667,C[2-1],26,7,390,13,38,48
0:1:8:730,C[2-1],26,7,390,13,38,48
0:1:8:792,C[2-1],26,7,390,13,38,48
0:1:8:872,C[2-1],26,7,390,13,38,48
0:1:8:934,C[2-1],26,7,390,13,38,48
0:1:8:997,C[2-1],26,7,390,13,38,48
0:1:9:59,C[2-1],26,7,390,13,38,48
